Term,Adjusted P-value,P-value,Odds Ratio,Combined Score,Overlap,Genes,library,set_label
Pathways in cancer,2.958958340724764e-15,9.36379221748343e-18,2.300210466331684,90.19051934002592,185/531,SPI1;HHIP;IL5RA;CALML3;FGF2;ETS1;CRKL;IGF1R;FGF5;EDNRA;CCND3;RPS6KA5;CCND2;FGF9;CCND1;CDH1;AKT2;MYC;RASSF5;AKT3;PIM1;AKT1;EP300;PIM2;IFNAR2;PDGFRB;PDGFRA;RALBP1;MAP2K2;PRKCB;TPM3;F2R;MITF;RUNX1;CCNE2;CCNE1;COL4A1;COL4A4;RAF1;TP53;IFNAR1;NOTCH2;NOTCH3;NOTCH1;CTBP2;CTBP1;CUL2;PDGFA;LPAR2;TGFA;PIK3R1;HIF1A;RASGRP1;FOXO1;BCL2L11;DVL1;TPR;HMOX1;DVL3;PMAIP1;PLCG1;FADD;WNT1;WNT4;STAT5A;SMAD2;FZD3;JUN;SMAD4;SMAD3;TGFB1;FZD7;ZBTB16;FZD6;PTCH2;FN1;FZD9;IGF2;GNG12;IL4;BMP2;CDK6;IL5;CDK4;SP1;GNAQ;CDK2;GNB1;BCL2;MDM2;GNB4;CYCS;CALM3;GRB2;FGFR4;CALM2;ITGB1;GSK3B;CDKN1A;CDKN1B;HSP90AB1;CXCL8;PTEN;SLC2A1;LAMC1;IKBKB;SHH;CASP7;CASP8;CASP3;BDKRB2;ELOB;ELOC;RAC1;JAK2;APPL1;JAK1;HSP90AA1;EDN1;APAF1;IFNGR1;IFNGR2;ITGA2;PLEKHG5;NCOA3;NCOA4;ARNT;TRAF1;AXIN2;F2;WNT16;MMP9;RHOA;TGFBR2;IFNG;TRAF6;RARA;RARB;BIRC5;ITGA6;CRK;ROCK2;GNAI3;ADCY3;CXCR4;XIAP;PTGS2;EGFR;RELA;LRP6;GNAI2;CDC42;RXRB;DLL4;MAPK8;GNA11;ERBB2;E2F1;MAPK1;E2F3;BAK1;VHL;RUNX1T1;MAPK3;TCF7L2;EGLN3;TCF7L1;EGF;STAT2;WNT7B;STAT3;VEGFB;LAMB1;MLH1;MTOR;VEGFA;HEYL;RAD51;RPS6KB1;IL2RA;RPS6KB2;FAS;BAX;KRAS;F2RL3,KEGG_2021_Human,LUAD_up_targets
HIF-1 signaling pathway,1.648953988541278e-10,1.043641764899543e-12,4.153429110988932,114.58606837228596,54/109,CDKN1A;CDKN1B;FLT1;TFRC;SERPINE1;SLC2A1;ENO1;ENO4;HK2;IGF1R;HK1;AKT2;AKT3;AKT1;EP300;ELOB;ELOC;EDN1;MAP2K2;PRKCB;IFNGR1;IFNGR2;RPS6;ARNT;IFNG;ALDOA;PFKFB3;CUL2;PIK3R1;HIF1A;EGFR;RELA;LDHA;ERBB2;MKNK2;EIF4EBP1;HMOX1;MAPK1;PLCG1;VHL;EIF4E;MAPK3;ANGPT4;EGLN3;EGF;INSR;STAT3;MTOR;VEGFA;RPS6KB1;RPS6KB2;BCL2;PFKM;PFKP,KEGG_2021_Human,LUAD_up_targets
Cellular senescence,1.020636304018593e-09,9.724448503765597e-12,3.188811479054875,80.85670903325817,67/156,CDKN1A;MRE11;CXCL8;SERPINE1;PTEN;CALML3;ETS1;PPP1CB;PPP1CC;CCND3;CCND2;CCND1;AKT2;MYC;RASSF5;AKT3;CHEK1;AKT1;BTRC;MAP2K3;MAP2K2;HLA-B;HUS1;RRAS2;TSC1;CDC25A;HLA-E;TGFBR2;IL1A;RBL1;CCNE2;CCNE1;MAPKAPK2;VDAC2;VDAC1;RAF1;SLC25A5;SQSTM1;TP53;SLC25A6;ITPR1;GATA4;PIK3R1;FOXO1;RELA;RBBP4;EIF4EBP1;E2F1;MAPK1;TRPM7;E2F3;MAPK3;SMAD2;SMAD3;TGFB1;MAPK14;HIPK3;MTOR;CDK6;CDK4;CDK2;CDK1;MDM2;ATM;CALM3;KRAS;CALM2,KEGG_2021_Human,LUAD_up_targets
Autophagy,1.020636304018593e-09,1.2919446886311306e-11,3.3972290776995173,85.17630389874002,61/137,IRS1;MTMR14;PTEN;HMGB1;IGF1R;TBK1;AKT2;AKT3;LAMP2;AKT1;MAP3K7;CTSD;SNAP29;RAB8A;SH3GLB1;RUBCN;GABARAPL1;MAP2K2;PDPK1;ATG9A;PRKCD;ATG10;RRAS2;TSC1;WIPI2;ATG14;ATG13;ATG12;ERN1;VAMP8;RRAGC;TRAF6;DDIT4;AKT1S1;ULK1;SMCR8;RAF1;SQSTM1;RAB1A;PRKAA1;MTMR3;PRKAA2;STX17;ITPR1;PIK3R1;AMBRA1;MTMR4;HIF1A;GABARAP;PPP2CA;MAPK8;MAPK1;MAPK3;RAB39B;MTOR;VMP1;RPS6KB1;RPS6KB2;ATG2A;BCL2;KRAS,KEGG_2021_Human,LUAD_up_targets
Hepatitis B,1.522244965507312e-09,2.408615451752076e-11,3.0641105551905574,74.91561540418657,68/162,CDKN1A;CXCL8;DDX3X;YWHAB;IFIH1;IKBKB;TBK1;CASP8;YWHAQ;AKT2;MYC;CASP3;AKT3;CREB3L2;AKT1;EP300;JAK2;MAP3K7;JAK1;MAP2K3;MAP2K4;MAP2K2;APAF1;ATP6AP1;PRKCB;IRAK4;MMP9;YWHAZ;TGFBR2;CREB1;CCNE2;CCNE1;TRAF6;BIRC5;RAF1;TP53;IFNAR1;CREB5;PCNA;PIK3R1;RELA;MAPK8;E2F1;MAPK1;PTK2B;E2F3;FADD;MAP2K7;MAPK3;STAT5A;JUN;SMAD4;SMAD3;TGFB1;MAP3K1;STAT2;STAT3;MAPK14;MAVS;CDK2;BCL2;CYCS;BAX;FAS;GRB2;TAB2;KRAS;TAB1,KEGG_2021_Human,LUAD_up_targets
Prostate cancer,3.660764376566024e-09,8.082869303021632e-11,3.9704514435695537,92.26808669042406,47/97,GSK3B;CDKN1A;CDKN1B;HSP90AB1;PTEN;PDGFA;TGFA;PIK3R1;FOXO1;EGFR;RELA;IGF1R;IKBKB;CCND1;AKT2;AKT3;CREB3L2;ERBB2;E2F1;AKT1;EP300;MAPK1;E2F3;MAPK3;PDGFRB;PDGFRA;TCF7L2;HSP90AA1;TCF7L1;MAP2K2;PDPK1;EGF;MMP9;ETV5;MTOR;CREB1;ZEB1;CCNE2;CCNE1;CDK2;BCL2;MDM2;GRB2;KRAS;RAF1;TP53;CREB5,KEGG_2021_Human,LUAD_up_targets
Pancreatic cancer,3.660764376566024e-09,8.109288175937395e-11,4.688673478298838,108.94332531409484,40/76,CDKN1A;TGFA;PIK3R1;EGFR;RELA;IKBKB;CDC42;MAPK8;CCND1;AKT2;AKT3;ERBB2;E2F1;AKT1;MAPK1;E2F3;RAC1;BAK1;JAK1;MAPK3;SMAD2;RALBP1;SMAD4;SMAD3;TGFB1;EGF;STAT3;MTOR;TGFBR2;VEGFA;CDK6;RAD51;RPS6KB1;CDK4;RPS6KB2;BAX;KRAS;RAF1;TP53;ARHGEF6,KEGG_2021_Human,LUAD_up_targets
Colorectal cancer,5.594160790090244e-09,1.4162432379975303e-10,4.221289984268484,95.7297522432894,43/86,GSK3B;CDKN1A;TGFA;PIK3R1;EGFR;MAPK8;BCL2L11;CCND1;AKT2;CASP3;MYC;AKT3;AKT1;MAPK1;PMAIP1;RAC1;BAK1;APPL1;MAPK3;SMAD2;TCF7L2;JUN;SMAD4;TCF7L1;MAP2K2;SMAD3;TGFB1;EGF;AXIN2;MLH1;RHOA;MTOR;TGFBR2;RPS6KB1;RPS6KB2;BCL2;BIRC5;BAX;CYCS;GRB2;KRAS;RAF1;TP53,KEGG_2021_Human,LUAD_up_targets
Kaposi sarcoma-associated herpesvirus infection,6.416913823657859e-09,1.9082879549535686e-10,2.693120400828187,60.27107702757601,75/193,CD86;GSK3B;CDKN1A;CXCL8;CALML3;FGF2;PIK3CG;IKBKB;ZFP36;TBK1;CASP8;CCND1;AKT2;MYC;CASP3;AKT3;AKT1;EP300;RAC1;CCR5;JAK2;JAK1;IFNAR2;MAP2K4;GABARAPL1;MAP2K2;IFNGR1;HLA-B;ATG14;HLA-E;CREB1;MAPKAPK2;RAF1;TP53;IFNAR1;ITPR1;PIK3R1;PTGS2;HIF1A;GABARAP;RELA;C3;MAPK8;UBB;UBC;E2F1;MAPK1;E2F3;FADD;PLCG1;BAK1;MAP2K7;MICA;MAPK3;TCF7L2;JUN;TCF7L1;STAT2;STAT3;EIF2AK2;GNG12;MAPK14;MTOR;VEGFA;RCAN1;CDK6;CDK4;GNB1;GNB4;FAS;CYCS;BAX;CALM3;KRAS;CALM2,KEGG_2021_Human,LUAD_up_targets
Renal cell carcinoma,6.416913823657859e-09,2.030668931537297e-10,4.876529777486911,108.83188341982309,37/69,CDKN1A;CUL2;PRCC;SLC2A1;TGFA;PIK3R1;ETS1;HIF1A;CRKL;CDC42;RAP1B;FLCN;RAP1A;AKT2;AKT3;AKT1;EP300;MAPK1;PAK6;ELOB;ELOC;RAC1;VHL;PAK3;PAK2;MAPK3;EGLN3;JUN;MAP2K2;TGFB1;ARNT;VEGFA;RAPGEF1;GRB2;KRAS;RAF1;CRK,KEGG_2021_Human,LUAD_up_targets
Measles,8.329160927251629e-09,2.8993914620179717e-10,3.1191317798841496,68.50034488774196,59/139,GSK3B;CDKN1B;TNFAIP3;CBLB;ADAR;CD3D;IFIH1;IKBKB;CCND3;CCND2;TBK1;CASP8;CCND1;AKT2;CASP3;AKT3;RACK1;AKT1;MAP3K7;JAK1;IFNAR2;CSNK2A1;APAF1;IRAK4;IL1A;CCNE2;CCNE1;TRAF6;TP53;IFNAR1;PIK3R1;RELA;MAPK8;FADD;BAK1;SLAMF1;STAT5A;HSPA8;JUN;MX2;STAT2;HSPA6;STAT3;EIF2AK2;MSN;MAVS;CDK6;CD209;CDK4;IL2RA;CDK2;BCL2;CYCS;BAX;EIF3H;FAS;TAB2;HSPA1B;RAB9B,KEGG_2021_Human,LUAD_up_targets
