input_miR,query_variant,library_key,n_genes
hsa-let-7a-3p,hsa-let-7a-3p,hsa-let-7a-3p,123
hsa-let-7a-5p,hsa-let-7a-5p,hsa-let-7a-5p,639
hsa-let-7d-3p,hsa-let-7d-3p,hsa-let-7d-3p,9
hsa-let-7f-1-3p,hsa-let-7f-1-3p,hsa-let-7f-1-3p,114
hsa-let-7f-5p,hsa-let-7f-5p,hsa-let-7f-5p,397
hsa-miR-1,hsa-miR-1,hsa-miR-1-3p,920
hsa-miR-101-3p,hsa-miR-101-3p,hsa-miR-101-3p,393
hsa-miR-106b-3p,hsa-miR-106b-3p,hsa-miR-106b-3p,76
hsa-miR-107,hsa-miR-107,hsa-miR-107,300
hsa-miR-10a-5p,hsa-miR-10a-5p,hsa-miR-10a-5p,463
hsa-miR-1249,hsa-miR-1249,hsa-miR-1249-3p,10
hsa-miR-125b-2-3p,hsa-miR-125b-2-3p,hsa-miR-125b-2-3p,112
hsa-miR-125b-5p,hsa-miR-125b-5p,hsa-miR-125b-5p,430
hsa-miR-126-3p,hsa-miR-126-3p,hsa-miR-126-3p,58
hsa-miR-126-5p,hsa-miR-126-5p,hsa-miR-126-5p,119
hsa-miR-127-3p,hsa-miR-127-3p,hsa-miR-127-3p,29
hsa-miR-1277-5p,hsa-miR-1277-5p,hsa-miR-1277-5p,624
hsa-miR-128-3p,hsa-miR-128-3p,hsa-miR-128-3p,527
hsa-miR-1292-3p,hsa-miR-1292-3p,hsa-miR-1292-3p,136
hsa-miR-1294,hsa-miR-1294,hsa-miR-1294,113
hsa-miR-1307-3p,hsa-miR-1307-3p,hsa-miR-1307-3p,240
hsa-miR-130a-3p,hsa-miR-130a-3p,hsa-miR-130a-3p,398
hsa-miR-130b-3p,hsa-miR-130b-3p,hsa-miR-130b-3p,571
hsa-miR-130b-5p,hsa-miR-130b-5p,hsa-miR-130b-5p,342
hsa-miR-132-3p,hsa-miR-132-3p,hsa-miR-132-3p,255
hsa-miR-133a-3p,hsa-miR-133a-3p,hsa-miR-133a-3p,131
hsa-miR-134-5p,hsa-miR-134-5p,hsa-miR-134-5p,101
hsa-miR-139-5p,hsa-miR-139-5p,hsa-miR-139-5p,105
hsa-miR-140-3p,hsa-miR-140-3p,hsa-miR-140-3p,224
hsa-miR-143-3p,hsa-miR-143-3p,hsa-miR-143-3p,228
hsa-miR-144-3p,hsa-miR-144-3p,hsa-miR-144-3p,210
hsa-miR-145-3p,hsa-miR-145-3p,hsa-miR-145-3p,60
hsa-miR-146a-5p,hsa-miR-146a-5p,hsa-miR-146a-5p,201
hsa-miR-148a-5p,hsa-miR-148a-5p,hsa-miR-148a-5p,85
hsa-miR-148b-3p,hsa-miR-148b-3p,hsa-miR-148b-3p,403
hsa-miR-149-5p,hsa-miR-149-5p,hsa-miR-149-5p,396
hsa-miR-150-5p,hsa-miR-150-5p,hsa-miR-150-5p,534
hsa-miR-151a-3p,hsa-miR-151a-3p,hsa-miR-151a-3p,80
hsa-miR-151b,hsa-miR-151b,hsa-miR-151b,42
hsa-miR-155-5p,hsa-miR-155-5p,hsa-miR-155-5p,903
hsa-miR-15b-3p,hsa-miR-15b-3p,hsa-miR-15b-3p,66
hsa-miR-16-5p,hsa-miR-16-5p,hsa-miR-16-5p,1555
hsa-miR-181a-2-3p,hsa-miR-181a-2-3p,hsa-miR-181a-2-3p,82
hsa-miR-181a-5p,hsa-miR-181a-5p,hsa-miR-181a-5p,552
hsa-miR-181b-5p,hsa-miR-181b-5p,hsa-miR-181b-5p,374
hsa-miR-181c-3p,hsa-miR-181c-3p,hsa-miR-181c-3p,32
hsa-miR-181c-5p,hsa-miR-181c-5p,hsa-miR-181c-5p,290
hsa-miR-185-5p,hsa-miR-185-5p,hsa-miR-185-5p,359
hsa-miR-186-5p,hsa-miR-186-5p,hsa-miR-186-5p,749
hsa-miR-18a-3p,hsa-miR-18a-3p,hsa-miR-18a-3p,350
hsa-miR-190a-5p,hsa-miR-190a-5p,hsa-miR-190a-5p,64
hsa-miR-190b,hsa-miR-190b,hsa-miR-190b,62
hsa-miR-191-3p,hsa-miR-191-3p,hsa-miR-191-3p,25
hsa-miR-193b-5p,hsa-miR-193b-5p,hsa-miR-193b-5p,215
hsa-miR-194-5p,hsa-miR-194-5p,hsa-miR-194-5p,93
hsa-miR-196a-5p,hsa-miR-196a-5p,hsa-miR-196a-5p,303
hsa-miR-196b-5p,hsa-miR-196b-5p,hsa-miR-196b-5p,150
