Term,Adjusted P-value,P-value,Odds Ratio,Combined Score,Overlap,Genes,library,set_label
Pathways in cancer,4.533629837659135e-24,1.4167593242684798e-26,2.7739824348879467,165.1042175935509,404/531,RB1;SPI1;ARAF;ELK1;TFG;AKT2;MYC;AKT3;AKT1;PRKACA;PRKACB;DAPK1;PRKCB;PRKCA;BCR;EML4;ADCY9;AGTR1;CTBP2;CTBP1;PDGFB;PDGFA;HIF1A;TERT;PLCG2;HMOX1;PLCG1;GSTM4;JAG2;GSTM3;CREBBP;GSTM2;JUN;WNT10A;FZD2;JAG1;FZD5;JUP;FZD4;FZD7;FZD6;FN1;FZD9;FZD8;BRAF;GSTM5;RET;CDKN1A;CDKN1B;GLI1;GLI3;BBC3;GLI2;IKBKB;SHH;HEY1;HEY2;ELOB;ELOC;IKBKG;JAK2;APPL1;JAK1;GSTO2;GSTO1;IFNGR1;IFNGR2;WNT9B;FOS;F2;DDB2;PLCB3;PLCB4;CKS2;RARA;RARB;PPARG;PLCB1;PPARD;FH;GSTP1;WNT8A;WNT8B;ADCY1;PTGS2;EGFR;ADCY5;NRAS;BID;IL12RB2;RUNX1T1;EGLN1;EGLN3;EGLN2;CDKN2A;STAT1;STAT2;WNT7B;STAT3;WNT7A;HEYL;CCDC6;EPO;FGF1;FGF2;FGF5;FGF7;FGF9;CDH1;PIM1;PIM2;IL13RA1;IFNAR2;MAP2K1;MAP2K2;TPM3;F2R;MITF;RBX1;MSH6;MSH2;SMO;MSH3;IL6ST;IFNAR1;NOTCH2;CSF1R;NOTCH3;NOTCH1;MAX;NOTCH4;CUL2;FOXO1;KNG1;HSP90B1;BCL2L11;DVL1;TPR;ABL1;DVL2;DVL3;ZBTB16;NFKB1;NFKB2;CDK6;CXCL12;CDK4;SP1;CDK2;BCL2;MDM2;BCL2L1;NFE2L2;ALK;ITGB1;HSP90AB1;FLT3;FLT4;PTEN;PIK3CD;FASLG;PIK3CB;ITGAV;NKX3-1;HSP90AA1;APAF1;CHUK;ITGA3;ITGA2;PLEKHG5;ARNT;TRAF1;PIK3CA;TRAF4;TRAF3;TRAF6;TRAF5;BIRC5;ITGA6;SOS1;CRK;MET;SOS2;BIRC2;BIRC3;CEBPA;HDAC2;ROCK1;HDAC1;ROCK2;LRP6;CDC42;E2F1;E2F2;E2F3;BAK1;TXNRD1;MTOR;PML;RAD51;APC;IL2RB;CALML5;HHIP;IL23R;KEAP1;CALML3;CALML4;CRKL;FRAT1;RASSF1;FRAT2;RPS6KA5;RASSF5;IL12B;IL12A;SKP2;SKP1;RUNX1;IL23A;TP53;EPAS1;LPAR2;MGST2;PIK3R3;TGFA;LPAR3;PIK3R2;PIK3R1;FADD;GSTT2B;RALGDS;STAT5A;STAT5B;GADD45A;IGF2;IGF1;GNG12;PTK2;GADD45G;CALM3;GRB2;CALM1;CALM2;BRCA2;SUFU;RAC1;HRAS;NCOA1;EDN1;IL15;NCOA3;IL13;NCOA4;RHOA;KIT;ARHGEF1;PTGER4;PTGER2;GNAI3;CXCR4;XIAP;GNAI1;RELA;GNAI2;RXRB;RXRA;CTNNA1;CTNNA3;VEGFB;VEGFC;MLH1;VEGFA;KITLG;GSTA4;CTNNB1;FAS;F2RL3;ETS1;IGF1R;CCND3;CCND2;CCND1;EP300;IL6R;PDGFRB;PDGFRA;RALBP1;IL4R;WNT5B;HGF;WNT5A;CCNE2;COL4A2;CCNE1;COL4A1;COL4A4;COL4A3;COL4A5;RAF1;TCF7;STK4;RASGRP1;RASGRP3;WNT6;FGF20;PMAIP1;WNT1;WNT2;FGF22;FGF21;WNT4;SMAD2;SMAD4;TGFB2;SMAD3;TGFB1;TGFB3;WNT3A;PTCH1;ESR1;ESR2;IL2;IL4;NFKBIA;BMP2;IL6;IL5;IL7;FGF19;GNAQ;GNB2;GNB1;GNAS;GNB4;CYCS;GNB5;FGFR4;IL7R;FGFR3;FGFR2;FGF10;FGFR1;GSK3B;CXCL8;WNT2B;LAMC3;SLC2A1;LAMC2;LAMC1;CKS1B;CASP9;CASP7;CASP8;CASP3;BDKRB2;POLK;ARHGEF11;ARHGEF12;DCC;MMP2;AXIN1;AXIN2;WNT16;MMP9;TGFBR1;TGFBR2;CCNA2;IFNG;CAMK2B;LAMA5;CAMK2D;RALA;RALB;CAMK2A;LAMA3;LEF1;CBL;DLL1;DLL4;GNA13;MAPK9;MAPK8;GNG2;GNG5;GNG4;GNG7;ERBB2;GNA12;MAPK1;HES1;VHL;CAMK2G;MAPK3;TCF7L2;LAMB3;EGF;LAMB2;LAMB1;EPOR;MAPK10;RPS6KB1;BAX;KRAS,KEGG_2021_Human,LUAD_down_targets
Proteoglycans in cancer,2.7768963611359747e-20,1.7355602257099841e-22,5.234682621053041,262.2866088157098,176/205,ARAF;IHH;ELK1;FGF2;TNF;ACTB;ACTG1;IGF1R;PPP1CB;PPP1CC;CCND1;PLAU;AKT2;MYC;AKT3;KDR;AKT1;IL12B;PLCE1;PRKACA;PRKACB;MAP2K1;MAP2K2;WNT5B;PRKCB;HGF;RPS6;WNT5A;FRS2;PRKCA;ANK3;ANK1;TIAM1;SMO;EZR;RAF1;TP53;DDX5;SDC4;SDC2;PXN;ITPR1;PIK3R3;TWIST1;ITPR2;PIK3R2;ITPR3;IQGAP1;PIK3R1;HIF1A;SLC9A1;WNT6;RRAS;PLCG2;PLCG1;WNT1;WNT2;WNT4;SMAD2;WNT10A;TGFB2;FZD2;TGFB1;FZD5;FZD4;CAV2;WNT3A;FZD7;CAV1;PTCH1;FZD6;RDX;FN1;FZD9;IGF2;FZD8;MSN;BRAF;IGF1;ESR1;PTK2;COL1A1;COL1A2;MDM2;SDC1;GRB2;NANOG;HPSE;FGFR1;ITGB1;CDKN1A;WNT2B;ITGB5;ITGB3;PIK3CD;FASLG;PIK3CB;SHH;CASP3;TIMP3;ITGAV;RAC1;HRAS;VAV3;ARHGEF12;PPP1R12A;PDPK1;ITGA2;MMP2;GAB1;WNT9B;PLAUR;RRAS2;WNT16;MMP9;RHOA;VAV2;MRAS;CTTN;PIK3CA;ARHGEF1;ITGA5;PPP1R12B;SOS1;TLR4;MET;PPP1R12C;SOS2;CD44;HBEGF;TLR2;CAMK2B;CD63;CAMK2D;ROCK1;ROCK2;SRC;CAMK2A;WNT8A;WNT8B;CBL;HOXD10;THBS1;EGFR;CDC42;NRAS;PAK1;ERBB3;ERBB4;GPC1;ERBB2;FLNA;DROSHA;MAPK1;FLNB;FLNC;CAMK2G;EIF4B;MAPK3;WNT7B;STAT3;WNT7A;PTPN11;MAPK14;MTOR;PPP1CA;VEGFA;MAPK13;MAPK11;TFAP4;RPS6KB1;PDCD4;CTNNB1;FAS;KRAS;PTPN6,KEGG_2021_Human,LUAD_down_targets
Cellular senescence,1.0435008421791353e-17,9.782820395429393e-20,6.203337395706384,271.5267404017353,137/156,RB1;MRE11;CALML5;TRAF3IP2;SERPINE1;CALML3;CALML4;ETS1;PPP1CB;PPP1CC;CCND3;CCND2;CCND1;AKT2;CHEK2;MYC;RASSF5;AKT3;CHEK1;CAPN2;AKT1;CAPN1;BTRC;MAP2K3;MAP2K1;MAP2K2;FBXW11;IGFBP3;HLA-B;HLA-C;HUS1;TSC2;TSC1;HLA-A;HLA-F;HLA-G;CDC25A;HLA-E;CCNE2;CCNE1;MAPKAPK2;VDAC2;VDAC1;RAF1;SQSTM1;TP53;PPID;ITPR1;ITPR2;PIK3R3;GATA4;ITPR3;PIK3R2;PIK3R1;FOXO3;FOXO1;ZFP36L2;ZFP36L1;CCNB2;CCNB1;PPP3R1;RRAS;EIF4EBP1;TRPM7;MAP2K6;SMAD2;TGFB2;SMAD3;TGFB1;GADD45A;TGFB3;NFATC3;NFATC2;NFATC1;NFKB1;GADD45G;IL6;CDK6;CDK4;RHEB;CDK2;CDK1;MDM2;ATM;CALM3;CALM1;CALM2;MCU;ATR;RAD9A;LIN54;CDKN1A;CXCL8;PTEN;PIK3CD;PIK3CB;FOXM1;PPP3CA;PPP3CB;MYBL2;HRAS;LIN52;RRAS2;SIRT1;TGFBR1;TGFBR2;CCNA2;RBL2;IL1A;MRAS;RBL1;PIK3CA;SLC25A5;SLC25A4;SLC25A6;LIN9;RELA;NRAS;RBBP4;E2F1;E2F2;MAPK1;E2F3;E2F4;E2F5;MAPK3;CDKN2A;HIPK1;MAPK14;HIPK3;MTOR;HIPK2;MAPK13;PPP1CA;MAPK11;RAD50;KRAS,KEGG_2021_Human,LUAD_down_targets
MAPK signaling pathway,2.459280651762523e-16,3.0741008147031546e-18,3.103662284849632,125.15058583704877,230/294,ATF2;ARAF;ELK1;CRKL;ELK4;RPS6KA4;RPS6KA3;RPS6KA6;RPS6KA5;AKT2;MYC;RPS6KA2;AKT3;RPS6KA1;STMN1;KDR;AKT1;PRKACA;PRKACB;MEF2C;PRKCB;CACNA2D1;CACNA2D3;PRKCA;MAPK8IP2;EREG;MAPK8IP1;DDIT3;TP53;ATF4;EPHA2;PDGFB;PDGFA;TGFA;NLK;PPP3R1;RRAS;PDGFC;NGFR;JUN;JUND;GADD45A;IGF2;NFATC3;BRAF;NFATC1;IGF1;GNG12;GADD45G;PPP5C;GRB2;PTPRR;ECSIT;AREG;IKBKB;PPP3CA;PPP3CB;IKBKG;RAC1;HRAS;DUSP4;DUSP5;MAP4K2;DUSP2;DUSP3;DUSP1;RRAS2;FOS;DUSP8;DUSP9;DUSP6;DUSP7;IL1A;MRAS;IL1B;KIT;RAPGEF2;MAPT;EGFR;RELA;NRAS;PAK1;FLNA;FLNB;FLNC;PAK2;MAP4K4;MAP3K2;MAP3K3;MAP3K1;VEGFB;VEGFC;VEGFA;KITLG;TAOK3;TAOK1;TAOK2;FAS;LAMTOR3;HSPA1B;HSPA1A;CSF1;IL1RAP;FGF1;FGF2;TNF;IGF1R;FGF5;FGF7;FGF9;MAP3K8;MAP3K6;MAP3K7;MAP3K4;MAP3K5;MAP2K3;PDGFRB;MAP2K4;PDGFRA;MAP2K1;MAP2K2;HGF;CDC25B;CACNB1;CACNB2;CACNB3;MAPKAPK2;MAPKAPK5;RAF1;CSF1R;MAX;CACNA1B;CACNA1A;CACNA1C;EFNA5;STK4;CACNA1E;RASGRP1;CACNA1H;RASGRP3;STK3;RAP1B;CACNA1I;RAP1A;IRAK1;FGF20;MAP3K20;MAP2K7;FGF22;FGF21;MAP2K6;HSPA8;TGFB2;TGFB1;BDNF;TGFB3;HSPA6;NFKB1;NFKB2;EFNA1;NR4A1;EFNA3;FGF19;NF1;TAB2;TAB1;FGFR4;FGFR3;MAP3K14;FGFR2;MAP3K11;MYD88;FGF10;FGFR1;MAP3K12;FLT1;FLT3;FLT4;ARRB1;FASLG;ARRB2;DUSP10;CASP3;PLA2G4F;CHUK;PLA2G4D;PLA2G4C;PLA2G4A;IRAK4;TGFBR1;TGFBR2;TNFRSF1A;PPM1A;PPM1B;RASA1;TRAF6;RASA2;SOS1;CRK;MET;SOS2;SRF;INS;CDC42;CACNG7;MAPK9;CACNG8;MAPK8;MAPK7;ERBB3;ERBB4;ERBB2;GNA12;MKNK2;MAPK1;CACNG1;CACNG2;CACNG5;MAPK3;ANGPT4;NTRK2;ANGPT2;EGF;MAPK14;MAPK13;MAPK10;MAPK11;KRAS;PTPN7;TEK,KEGG_2021_Human,LUAD_down_targets
Salmonella infection,5.793092057296436e-15,9.05170633952568e-17,3.265927435438136,120.64660349498465,197/249,CYFIP2;CYFIP1;NCKAP1;ARPC5L;GCC2;ACTB;AKT2;MYC;AKT3;TNFSF10;AKT1;VPS39;SKP1;DYNC2H1;VPS18;DYNC1LI1;DYNC1LI2;MYL2;PFN1;NAIP;PFN2;TXN;ACTR3B;MYL12A;MYL12B;DYNC2LI1;ACTR3C;RRAS;MYO6;VPS11;NCKAP1L;SNX9;FADD;JUN;ARF1;ARPC1B;WASL;IKBKB;TUBA1C;ACTR1A;TUBA1B;TUBA1A;IKBKG;RAC1;HRAS;ANXA2;EXOC7;RIPK2;TUBB;IL18;RHOG;RHOH;FOS;DYNLL1;DYNLL2;RHOA;RHOB;TUBB2B;TUBB2A;IL1B;EXOC5;TLR6;RAB7B;TLR5;TLR4;EXOC2;ARF6;RAB7A;TLR2;AHNAK;SNX33;RELA;PAK1;RPS3;FLNA;FLNB;FLNC;PAK3;DYNC1H1;TUBB4B;TUBB4A;CTNNB1;RAB9A;PKN1;ACTR10;RAB9B;CSE1L;FHOD1;FBXO22;TNF;ACTG1;TXN2;PYCARD;KIF5C;TUBB3;KIF5B;KIF5A;KPNA4;KPNA3;MAP3K7;KPNA1;MAP2K3;MAP2K4;MAP2K1;MAP2K2;VPS33A;ELMO1;RAF1;ARL8A;ARL8B;RAB5B;RAB5C;ARHGEF26;TCF7;KLC1;HSP90B1;KLC2;IRAK1;PODXL;MAP2K7;MAP2K6;M6PR;TNFRSF10B;TNFRSF10A;ARPC5;NFKB1;NFKBIA;IL6;ARPC2;ARPC3;BCL2;PLEKHM1;CYCS;PLEKHM2;TAB3;TAB2;TAB1;RAB5A;MYD88;TUBA8;CXCL8;HSP90AB1;PIK3CD;PIK3CB;PIK3C2A;PIK3CG;PIK3C2B;FYCO1;CASP7;CASP8;CASP5;CASP3;CASP1;ACTR2;HSP90AA1;CHUK;DYNLT1;DYNLT3;IRAK4;TIRAP;DNM2;TNFRSF1A;PIK3CA;TRAF6;PIK3C3;GAPDH;BIRC2;BIRC3;DCTN6;DCTN5;RALA;DCTN2;TUBAL3;ROCK2;DCTN4;DCTN3;LEF1;NOD1;CDC42;CYTH3;CYTH2;MAPK9;MAPK8;CYTH4;MAPK1;BAK1;CYTH1;WASF3;MAPK3;TCF7L2;AHNAK2;MAPK14;MAPK13;MAPK10;MAPK11;VPS41;BAX,KEGG_2021_Human,LUAD_down_targets
Chronic myeloid leukemia,1.033989756190424e-14,1.9387307928570452e-16,20.84580498866213,754.1872152628729,73/76,RB1;CDKN1A;CDKN1B;ARAF;PIK3CD;PIK3CB;CRKL;IKBKB;CCND1;AKT2;MYC;AKT3;AKT1;IKBKG;POLK;HRAS;MAP2K1;MAP2K2;CHUK;GAB2;TGFBR1;DDB2;RUNX1;TGFBR2;BCR;PIK3CA;RAF1;SOS1;CRK;SOS2;TP53;SHC4;HDAC2;SHC2;SHC3;CTBP2;CTBP1;HDAC1;SHC1;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;NRAS;ABL1;E2F1;E2F2;MAPK1;E2F3;BAK1;MAPK3;STAT5A;STAT5B;SMAD4;TGFB2;SMAD3;TGFB1;CDKN2A;GADD45A;TGFB3;BRAF;PTPN11;NFKB1;GADD45G;NFKBIA;CDK6;CDK4;MDM2;BAX;GRB2;KRAS;BCL2L1,KEGG_2021_Human,LUAD_down_targets
AGE-RAGE signaling pathway in diabetic complications,3.6082841212849644e-14,7.893121515310857e-16,8.670846427497226,301.5318910123119,91/100,CDKN1B;CXCL8;SERPINE1;PIK3CD;PIK3CB;TNF;ICAM1;CCND1;AKT2;CASP3;AKT3;PIM1;AKT1;PLCE1;RAC1;JAK2;HRAS;EDN1;PRKCB;PRKCE;MMP2;PRKCD;CYBB;PRKCA;TGFBR1;TGFBR2;IL1A;PLCB3;PLCB4;COL4A2;PIK3CA;COL4A1;COL4A4;IL1B;COL4A3;AGTR1;COL4A5;PLCB1;PIK3R3;PIK3R2;PIK3R1;AGER;PRKCZ;FOXO1;RELA;CDC42;MAPK9;MAPK8;NRAS;PLCG2;CCL2;MAPK1;PLCG1;MAPK3;SMAD2;STAT5A;EGR1;STAT5B;JUN;SMAD4;TGFB2;SMAD3;TGFB1;VCAM1;TGFB3;NOS3;STAT1;STAT3;FN1;VEGFB;VEGFC;NFATC1;MAPK14;SELE;NFKB1;MAPK13;VEGFA;COL1A1;MAPK10;DIAPH1;MAPK11;IL6;COL3A1;COL1A2;CDK4;BCL2;NOX4;BAX;KRAS;PLCD3;PLCD1,KEGG_2021_Human,LUAD_down_targets
Breast cancer,4.64103315369016e-14,1.16025828842254e-15,4.88107500702313,167.8608223457765,125/147,RB1;ARAF;FGF1;FGF2;IGF1R;FGF5;FGF7;FRAT1;FRAT2;CCND1;FGF9;AKT2;MYC;AKT3;AKT1;TNFSF11;MAP2K1;MAP2K2;WNT5B;WNT5A;PGR;RAF1;TP53;NOTCH2;SHC4;NOTCH3;SHC2;NOTCH1;SHC3;SHC1;NOTCH4;TCF7;PIK3R3;PIK3R2;PIK3R1;WNT6;DVL1;DVL2;FGF20;DVL3;WNT1;WNT2;FGF22;FGF21;WNT4;JAG2;JUN;WNT10A;FZD2;JAG1;FZD5;FZD4;GADD45A;WNT3A;FZD7;FZD6;FZD9;FZD8;BRAF;IGF1;ESR1;ESR2;GADD45G;NFKB2;CDK6;CDK4;SP1;FGF19;GRB2;FGF10;FGFR1;GSK3B;CDKN1A;WNT2B;FLT4;PTEN;PIK3CD;BRCA1;PIK3CB;BRCA2;HEY1;HEY2;POLK;HRAS;NCOA1;NCOA3;AXIN1;WNT9B;AXIN2;FOS;WNT16;DDB2;PIK3CA;KIT;SOS1;SOS2;LEF1;WNT8A;WNT8B;DLL1;EGFR;LRP6;DLL4;NRAS;ERBB2;E2F1;E2F2;MAPK1;E2F3;HES1;BAK1;MAPK3;TCF7L2;CSNK1A1;EGF;WNT7B;WNT7A;MTOR;HEYL;APC;RPS6KB1;BAX;CTNNB1;KRAS;CSNK1A1L,KEGG_2021_Human,LUAD_down_targets
Hepatocellular carcinoma,1.2029636511695568e-13,3.3833352689143786e-15,4.119866789530692,137.2736087912774,139/168,RB1;SMARCB1;ARAF;KEAP1;ELK1;ACTB;ACTG1;IGF1R;FRAT1;FRAT2;CCND1;AKT2;MYC;AKT3;DPF1;AKT1;DPF3;ARID2;MAP2K1;SMARCC1;MAP2K2;SMARCC2;WNT5B;PRKCB;HGF;WNT5A;PRKCA;RAF1;TP53;SHC4;SHC2;SHC3;SHC1;TCF7;MGST2;PIK3R3;TGFA;PIK3R2;PIK3R1;WNT6;TERT;DVL1;DVL2;PLCG2;DVL3;HMOX1;PLCG1;WNT1;GSTT2B;WNT2;WNT4;GSTM4;SMAD2;GSTM3;GSTM2;SMAD4;TGFB2;WNT10A;FZD2;SMAD3;TGFB1;FZD5;PHF10;FZD4;GADD45A;TGFB3;WNT3A;FZD7;FZD6;FZD9;IGF2;FZD8;BRAF;SMARCA2;GADD45G;SMARCA4;CDK6;CDK4;GRB2;BCL2L1;GSTM5;NFE2L2;GSK3B;CDKN1A;WNT2B;PTEN;PIK3CD;PIK3CB;POLK;HRAS;PBRM1;GSTO2;GSTO1;ACTL6A;AXIN1;GAB1;WNT9B;AXIN2;ARID1A;WNT16;ARID1B;TGFBR1;DDB2;TGFBR2;PIK3CA;SOS1;MET;SOS2;SMARCD1;SMARCD2;GSTP1;LEF1;WNT8A;WNT8B;EGFR;LRP6;NRAS;E2F1;E2F2;MAPK1;E2F3;BAK1;BRD7;MAPK3;SMARCE1;TCF7L2;CDKN2A;CSNK1A1;TXNRD1;WNT7B;WNT7A;MTOR;APC;GSTA4;RPS6KB1;BAX;CTNNB1;KRAS;CSNK1A1L,KEGG_2021_Human,LUAD_down_targets
Neurotrophin signaling pathway,1.8016881932056485e-13,5.6302756037676514e-15,5.949059190031153,195.1923085509105,104/119,CALML5;PRDM4;IRS1;CALML3;CALML4;CRKL;RPS6KA3;RPS6KA6;RPS6KA5;AKT2;ARHGDIA;RPS6KA2;AKT3;ARHGDIB;RPS6KA1;AKT1;MAP3K5;MAP2K1;MAP2K2;PRKCD;FRS2;MAPKAPK2;RAF1;TP53;ATF4;SHC4;BEX3;SHC2;SHC3;MAGED1;SHC1;PIK3R3;PIK3R2;PIK3R1;PSEN1;FOXO3;RAP1B;RAP1A;IRAK1;IRAK2;ABL1;PLCG2;PLCG1;MAP2K7;NGFR;JUN;BDNF;BRAF;NFKB1;NFKBIA;BCL2;CALM3;GRB2;CALM1;CALM2;TP73;YWHAE;GSK3B;PIK3CD;FASLG;PIK3CB;IKBKB;RAC1;HRAS;PDPK1;RIPK2;GAB1;IRAK3;IRAK4;RHOA;PIK3CA;TRAF6;RAPGEF1;SOS1;CRK;SOS2;CAMK2B;CAMK2D;CAMK2A;RELA;CDC42;MAPK9;MAPK8;NRAS;MAPK7;MAPK1;CAMK2G;SH2B3;MAPK3;SH2B1;MAP3K3;NTRK2;MAP3K1;KIDINS220;SORT1;NTRK3;PTPN11;MAPK14;MAPK13;MAPK10;MAPK11;CAMK4;BAX;KRAS,KEGG_2021_Human,LUAD_down_targets
