Term,Adjusted P-value,P-value,Odds Ratio,Combined Score,Overlap,Genes,library,set_label
Viral protein interaction with cytokine and cytokine receptor,0.2248034918453519,0.0018366242245764,3.8458498023715415,24.22818478078405,8/100,CSF1;TNFSF14;CCL5;IL24;CCL3;CXCR4;IL6ST;IL6R,KEGG_2021_Human,PBMC_down
Th17 cell differentiation,0.2248034918453519,0.0028107786789013,3.5726354453627183,20.986709975173664,8/107,NFATC3;RARA;MAPK1;RORA;IL6ST;HLA-DOB;IL6R;TGFBR2,KEGG_2021_Human,PBMC_down
TNF signaling pathway,0.2248034918453519,0.0037241005487601,3.4,19.01596172707412,8/112,CASP8;CSF1;TRADD;CCL5;MAPK1;ATF4;MAP2K6;BIRC3,KEGG_2021_Human,PBMC_down
Salmonella infection,0.2248034918453519,0.0042184736766385,2.446015975063316,13.37550489421285,13/249,AHNAK;TRADD;ACTR3B;TUBB6;PTPRC;CASP8;ARPC2;CASP4;ELMO1;CTNNB1;MAPK1;MAP2K6;BIRC3,KEGG_2021_Human,PBMC_down
TGF-beta signaling pathway,0.2248034918453519,0.0051897799119586,3.551359241014413,18.68392821446713,7/94,TGIF1;PPP2CB;MAPK1;ID3;ACVR1B;ACVR2A;TGFBR2,KEGG_2021_Human,PBMC_down
Neurotrophin signaling pathway,0.2248034918453519,0.0053694217720661,3.1844389844389847,16.645174198076283,8/119,BEX3;RAP1A;BDNF;CAMK4;MATK;RAPGEF1;MAPK1;ATF4,KEGG_2021_Human,PBMC_down
Fc gamma R-mediated phagocytosis,0.2248034918453519,0.0061536911682819,3.432451499118166,17.473591786611436,7/97,PTPRC;ARPC2;LIMK2;MAPK1;PIP5K1B;GAB2;ACTR3B,KEGG_2021_Human,PBMC_down
Fanconi anemia pathway,0.2248034918453519,0.0070838424342977,4.4923296632422725,22.23675691049373,5/54,SLX1B;ERCC1;RPA4;USP1;FANCC,KEGG_2021_Human,PBMC_down
Osteoclast differentiation,0.2248034918453519,0.007872495823378,2.969136745607334,14.383627070069634,8/127,CSF1;CAMK4;SIRPG;MAPK1;GAB2;LILRB5;MAP2K6;TGFBR2,KEGG_2021_Human,PBMC_down
B cell receptor signaling pathway,0.2480633212236369,0.0096522693083127,3.5252488687782804,16.35913675107717,6/81,CD79B;NFATC3;MAPK1;BCL10;LILRB5;CD22,KEGG_2021_Human,PBMC_down
Human cytomegalovirus infection,0.2925120663859509,0.0128972095759957,2.274620928591287,9.89629404644308,11/225,CASP8;TRADD;CCL5;NFATC3;CCL3;CXCR4;CTNNB1;MAPK1;IL6R;ATF4;MAP2K6,KEGG_2021_Human,PBMC_down
Mismatch repair,0.2925120663859509,0.0141737567975763,6.583820224719101,28.023129705716837,3/23,PCNA;EXO1;RPA4,KEGG_2021_Human,PBMC_down
Apoptosis,0.2925120663859509,0.0147963302062932,2.6347354138398917,11.10113119086195,8/142,HRK;CASP8;DIABLO;CTSL;TRADD;MAPK1;ATF4;BIRC3,KEGG_2021_Human,PBMC_down
Rheumatoid arthritis,0.3261771562093702,0.0181636849189675,3.037135278514589,12.17384352558199,6/93,CD86;CSF1;CTSL;CCL5;CCL3;HLA-DOB,KEGG_2021_Human,PBMC_down
Folate biosynthesis,0.3261771562093702,0.0198079402236028,5.724181729360039,22.44836550219057,3/26,MOCS2;PCBD2;PTS,KEGG_2021_Human,PBMC_down
Adherens junction,0.3261771562093702,0.0214624875729851,3.33230727135919,12.800887208197668,5/71,CSNK2A1;CTNND1;MAPK1;CTNNB1;TGFBR2,KEGG_2021_Human,PBMC_down
Human immunodeficiency virus 1 infection,0.3261771562093702,0.0215759208387521,2.187033771870338,8.389849445798557,10/212,APOBEC3F;CASP8;AP1G1;TRADD;LIMK2;NFATC3;AP1S1;CXCR4;MAPK1;MAP2K6,KEGG_2021_Human,PBMC_down
Chagas disease,0.3704581185404602,0.0271984933652034,2.751131221719457,9.916710264729817,6/102,PPP2CB;CASP8;CCL5;CCL3;MAPK1;TGFBR2,KEGG_2021_Human,PBMC_down
Toll-like receptor signaling pathway,0.3704581185404602,0.0295469983702275,2.694708652691846,9.490152494660425,6/104,CD86;CASP8;CCL5;CCL3;MAPK1;MAP2K6,KEGG_2021_Human,PBMC_down
Hepatitis B,0.3704581185404602,0.0297970235460884,2.2902007083825264,8.046269264797937,8/162,CASP8;PCNA;CDK2;NFATC3;MAPK1;ATF4;MAP2K6;TGFBR2,KEGG_2021_Human,PBMC_down
Kaposi sarcoma-associated herpesvirus infection,0.3704581185404602,0.0302708968457185,2.157967713182133,7.547639958462945,9/193,CD86;CASP8;UBB;TRADD;NFATC3;CTNNB1;MAPK1;IL6ST;MAP2K6,KEGG_2021_Human,PBMC_down
MAPK signaling pathway,0.3887212717199531,0.0339460460420673,1.8807339449541285,6.362490767539205,12/294,RAP1A;CSF1;BDNF;TRADD;STMN1;RASA2;NFATC3;MAPK1;EREG;ATF4;MAP2K6;TGFBR2,KEGG_2021_Human,PBMC_down
Yersinia infection,0.3887212717199531,0.0347882850177389,2.3714285714285714,7.964382590364061,7/137,ARPC2;ELMO1;NFATC3;MAPK1;PIP5K1B;ACTR3B;MAP2K6,KEGG_2021_Human,PBMC_down
Viral carcinogenesis,0.4260886506164041,0.0397903798241,2.0456755043092314,6.595523986423961,9/203,VAC14;CASP8;TRADD;CDK2;RASA2;MAPK1;IL6ST;HDAC8;ATF4,KEGG_2021_Human,PBMC_down
Signaling pathways regulating pluripotency of stem cells,0.4347518226802126,0.042291033334651,2.2661064425770308,7.168103015079673,7/143,RIF1;ID3;MAPK1;CTNNB1;IL6ST;ACVR1B;ACVR2A,KEGG_2021_Human,PBMC_down
Cell adhesion molecules,0.4597440999428015,0.0492882982397796,2.185185185185185,6.577557276862468,7/148,CD86;SPN;CD274;PTPRC;NRCAM;HLA-DOB;CD22,KEGG_2021_Human,PBMC_down
PD-L1 expression and PD-1 checkpoint pathway in cancer,0.4597440999428015,0.049644130359203,2.615822852843169,7.854989352243066,5/89,CD274;CSNK2A1;NFATC3;MAPK1;MAP2K6,KEGG_2021_Human,PBMC_down
Shigellosis,0.4597440999428015,0.0511549333297975,1.8686634161442608,5.555342636059636,10/246,UBB;ARPC2;UBE2D2;TRADD;CCL5;CASP4;ELMO1;MAPK1;BCL10;ACTR3B,KEGG_2021_Human,PBMC_down
Lysine degradation,0.4597440999428015,0.0526512311833784,2.976484959535807,8.762967146088704,4/63,TMLHE;PHYKPL;EHMT1;KMT5B,KEGG_2021_Human,PBMC_down
Lipid and atherosclerosis,0.4597440999428015,0.0536666264524671,1.9253156998474024,5.631479018271333,9/215,RAP1A;CASP8;HSPA4;CCL5;NFATC3;CCL3;MAPK1;ATF4;MAP2K6,KEGG_2021_Human,PBMC_down
Long-term potentiation,0.4934374437365513,0.063285587085565,2.786929786929787,7.692198405586693,4/67,RAP1A;CAMK4;MAPK1;ATF4,KEGG_2021_Human,PBMC_down
Mitophagy,0.4934374437365513,0.0661075379292164,2.7432432432432434,7.451944832076544,4/68,CSNK2A1;UBB;NBR1;ATF4,KEGG_2021_Human,PBMC_down
mRNA surveillance pathway,0.4934374437365513,0.0692935856691335,2.361586446272968,6.304025793197507,5/98,UPF2;PPP2CB;FUS;MSI2;WDR33,KEGG_2021_Human,PBMC_down
Cytokine-cytokine receptor interaction,0.4934374437365513,0.0692994162069767,1.7077706513681632,4.558584300599659,11/295,TNFSF14;CSF1;CCL5;IL24;CCL3;CXCR4;IL6ST;ACVR1B;IL6R;ACVR2A;TGFBR2,KEGG_2021_Human,PBMC_down
Pathways of neurodegeneration,0.4934374437365513,0.0699575028661786,1.540627773743242,4.097865472602482,16/475,CSNK2A1;CSF1;FUS;BDNF;ATXN3;CCS;TUBB6;FRAT1;CASP8;UBB;PSMC4;VAPB;CTNNB1;MAPK1;ATF4;MAP2K6,KEGG_2021_Human,PBMC_down
Relaxin signaling pathway,0.4934374437365513,0.0703299318817148,2.144244564617592,5.692021128141526,6/129,COL4A1;COL4A4;RLN2;MAPK1;ATF4;TGFBR2,KEGG_2021_Human,PBMC_down
Hematopoietic cell lineage,0.4934374437365513,0.0717074441558606,2.3363431151241536,6.156639589328836,5/99,CSF1;HLA-DOB;IL6R;MS4A1;CD22,KEGG_2021_Human,PBMC_down
Steroid biosynthesis,0.4934374437365513,0.0729596220310854,4.866467364225212,12.739677276406036,2/20,MSMO1;LBR,KEGG_2021_Human,PBMC_down
Pathogenic Escherichia coli infection,0.502675839939266,0.0762815476950637,1.8627224627224628,4.793388807596265,8/197,TUBB6;SEC24B;CASP8;ARPC2;TRADD;CASP4;MAPK1;ACTR3B,KEGG_2021_Human,PBMC_down
Basal transcription factors,0.503261446268875,0.0794655880841605,3.131621187800963,7.930615219220925,3/45,TAF15;TAF13;TAF1L,KEGG_2021_Human,PBMC_down
Wnt signaling pathway,0.503261446268875,0.0802868455137115,1.9360087850653889,4.882903566431614,7/166,FRAT1;CSNK2A1;CTBP1;NFATC3;CTNNB1;CACYBP;LGR4,KEGG_2021_Human,PBMC_down
Focal adhesion,0.5047787881195207,0.0834093778788412,1.8237399905793688,4.530160163200594,8/201,RAP1A;COL4A1;COL4A4;RAPGEF1;CTNNB1;MAPK1;PIP5K1B;BIRC3,KEGG_2021_Human,PBMC_down
NF-kappa B signaling pathway,0.5047787881195207,0.0844571513196085,2.2177759536676014,5.481257572333291,5/104,CSNK2A1;TNFSF14;TRADD;BCL10;BIRC3,KEGG_2021_Human,PBMC_down
Nucleotide excision repair,0.5111003529581061,0.0879500907781322,2.9889683350357505,7.266139506319149,3/47,PCNA;ERCC1;RPA4,KEGG_2021_Human,PBMC_down
Chronic myeloid leukemia,0.5111003529581061,0.0909574679344713,2.437437437437437,5.843422978267755,4/76,CTBP1;MAPK1;GAB2;TGFBR2,KEGG_2021_Human,PBMC_down
Intestinal immune network for IgA production,0.5111003529581061,0.0923294986928278,2.9223970037453184,6.96229405233607,3/48,CD86;CXCR4;HLA-DOB,KEGG_2021_Human,PBMC_down
Bacterial invasion of epithelial cells,0.5111003529581061,0.0943385354530566,2.403924472417623,5.67534241255294,4/77,ARPC2;ELMO1;CTNNB1;ACTR3B,KEGG_2021_Human,PBMC_down
Ribosome biogenesis in eukaryotes,0.5111003529581061,0.0954584316808914,2.13121041442942,5.006350506221127,5/108,CSNK2A1;NVL;GAR1;RPP25L;MDN1,KEGG_2021_Human,PBMC_down
"Neomycin, kanamycin and gentamicin biosynthesis",0.5507524241476626,0.1071034501237344,10.93288590604027,24.423630760826285,1/5,GCK,KEGG_2021_Human,PBMC_down
Toxoplasmosis,0.5507524241476626,0.1071502770715296,2.051117065040822,4.581217081465588,5/112,CASP8;MAPK1;HLA-DOB;MAP2K6;BIRC3,KEGG_2021_Human,PBMC_down
Endocytosis,0.5708772666513482,0.1145562792552576,1.629039061840884,3.529621105238475,9/252,SNX1;ARPC2;SH3KBP1;AGAP2;CXCR4;PIP5K1B;ACTR3B;SNX5;TGFBR2,KEGG_2021_Human,PBMC_down
Glycosaminoglycan biosynthesis,0.5708772666513482,0.1155082407232299,2.6294831460674155,5.675511666255917,3/53,CHST12;ST3GAL1;CHST3,KEGG_2021_Human,PBMC_down
Gastric cancer,0.5750866369936051,0.1185976333099652,1.8424516659810777,3.9281414938709607,6/149,FRAT1;REG4;CDK2;MAPK1;CTNNB1;TGFBR2,KEGG_2021_Human,PBMC_down
Human papillomavirus infection,0.5842453468970401,0.1262581116122109,1.5128146453089244,3.130659416262452,11/331,PPP2CB;CASP8;MAML2;COL4A1;COL4A4;TRADD;CDK2;CTNNB1;MAPK1;TUBG1;HES4,KEGG_2021_Human,PBMC_down
Phosphonate and phosphinate metabolism,0.5842453468970401,0.1271093033575788,8.74586129753915,18.040157245985636,1/6,CEPT1,KEGG_2021_Human,PBMC_down
Colorectal cancer,0.5842453468970401,0.1273063790904056,2.1390903098220173,4.4090045251417065,4/86,MAPK1;CTNNB1;EREG;TGFBR2,KEGG_2021_Human,PBMC_down
Cushing syndrome,0.5903267842311017,0.1356454635356858,1.767712350815391,3.5313778474416546,6/155,RAP1A;CDK2;MAPK1;CTNNB1;MEN1;ATF4,KEGG_2021_Human,PBMC_down
Thyroid hormone signaling pathway,0.5903267842311017,0.1358464510410086,1.8911029812407565,3.77507663198826,5/121,PFKFB2;MAPK1;CTNNB1;SLC16A10;MED17,KEGG_2021_Human,PBMC_down
Cellular senescence,0.5903267842311017,0.138593987928316,1.755837104072398,3.469896821457965,6/156,CDK2;NFATC3;MAPK1;MAP2K6;LIN52;TGFBR2,KEGG_2021_Human,PBMC_down
Transcriptional misregulation in cancer,0.5903267842311017,0.1410071635361217,1.6616902616902618,3.2551591395433097,7/192,CD86;TAF15;FUS;RARA;MEN1;TGFBR2;BIRC3,KEGG_2021_Human,PBMC_down
Hepatitis C,0.5903267842311017,0.1415722963350728,1.7441191453657368,3.409656591400128,6/157,PPP2CB;CASP8;TRADD;CDK2;MAPK1;CTNNB1,KEGG_2021_Human,PBMC_down
Ribosome,0.5903267842311017,0.1445800518373855,1.7325553703262682,3.350626830589689,6/158,MRPL20;RPS15A;RPL32;MRPS12;RPL13;RPL8,KEGG_2021_Human,PBMC_down
Notch signaling pathway,0.5903267842311017,0.1458346056475714,2.3470304975922955,4.518695893065174,3/59,NUMBL;MAML2;CTBP1,KEGG_2021_Human,PBMC_down
Viral myocarditis,0.5903267842311017,0.1511221712837369,2.305736250739208,4.357072984215626,3/60,CD86;CASP8;HLA-DOB,KEGG_2021_Human,PBMC_down
Small cell lung cancer,0.5903267842311017,0.1516014309698549,1.9926289926289928,3.7590953252981736,4/92,COL4A1;COL4A4;CDK2;BIRC3,KEGG_2021_Human,PBMC_down
Th1 and Th2 cell differentiation,0.5903267842311017,0.1516014309698549,1.9926289926289928,3.7590953252981736,4/92,MAML2;NFATC3;MAPK1;HLA-DOB,KEGG_2021_Human,PBMC_down
Riboflavin metabolism,0.6177887021094152,0.1657891978807249,6.2464046021093,11.225027619600391,1/8,FLAD1,KEGG_2021_Human,PBMC_down
Sulfur relay system,0.6177887021094152,0.1657891978807249,6.2464046021093,11.225027619600391,1/8,MOCS2,KEGG_2021_Human,PBMC_down
FoxO signaling pathway,0.6177887021094152,0.1712458985048955,1.7401196746569207,3.070710453737692,5/131,CDK2;AGAP2;MAPK1;FBXO32;TGFBR2,KEGG_2021_Human,PBMC_down
PI3K-Akt signaling pathway,0.6177887021094152,0.1730555818442809,1.409684370642667,2.472787200928758,11/354,PHLPP2;PPP2CB;CSF1;COL4A1;BDNF;COL4A4;CDK2;MAPK1;IL6R;EREG;ATF4,KEGG_2021_Human,PBMC_down
Phosphatidylinositol signaling system,0.6177887021094152,0.173076990474233,1.885014046304369,3.306349984697026,4/97,INPP4A;INPP5B;PIP5K1B;IP6K2,KEGG_2021_Human,PBMC_down
